title,author,publication_year,rating,rating_num,introduction,catalog,tag_list
天生变态狂,[美]詹姆斯·法隆,2015-12,7.2,1605,詹姆斯•法隆被《华尔街日报》评为十年来成就最大的神经科学家，他有着美满的事业和家庭，研究大脑组织35年。多年来，他深深着迷于心理变态者的脑部结构研究，并发现心理变态者的大脑边缘皮质都存在相同的变异。2005年，在对正常人和异常人脑部扫描图的研究中，他竟然滑稽地发现，自己   的脑部结构跟心理变态罪犯的一模一样。詹姆斯曾坚信自己已经找到了破解心理变态的钥匙，但这难道要证明自己也是一个变态狂吗？ 2005年12月，在家庭聚会上，母亲悄悄塞给他一本书说“这本书，或许可以让你好过一些。是关于你父亲家族的。”书开头就讲述了詹姆斯父系血统康奈尔家族的第一桩弑母案，随后的200年里，其父系陆续曝出过杀妻弑母等数个杀亲案件。2011年后，另两支父系血脉，一支被曝出全是凶杀犯，一支全是抛弃妻子的流氓恶棍。 2008年，詹姆斯受邀参加TED，鼓起勇气自白了自己的狗血家族...(展开全部),"        01.一张脑部扫描图引起的混乱 一个心理变态可以伪装出很关心他人或是充满悔意的样子，但他的大脑却会说实话。这就是我在2005年那个10月一直在做的事，直到我发现了自己怪异的脑部扫描图，暗示我的大脑在负责同理心和道德观的部分活动减弱。 02.成长之路：那些不起眼的“罪恶”／015 我的无端恐惧症大都是在二十几岁和刚过三十岁的那几年发作的，直到我学会了当预感到恐惧症要发作时,如何对它加以控制之后,它才离我而去。但在头五百次恐惧症发作时，我都坚信自己在一两分钟内就要死了。 03.我是谁：科学家VS心理变态 我先是大吃一惊：“这一定是在开玩笑！”接着又笑了。我心想：“这真是个笑话。”如果你多年来一直受邀研究凶手的大脑，还从中总结出一套凶杀犯大脑的通用模式，最后竟然发现自己也拥有这样的大脑，那可真是个天大的笑话。 04.充满血腥的家族史 康奈尔家族这种自相残杀的癖好，还真是独具一种别致的公德心。最后，事情出现了让人愉快的结果，也像是历史的必然，这条凶手链在十九世纪末终于趋于平淡、消声匿迹，使我和我的父亲得以远离了这条家族血脉。 05.变态大脑的现实成功之谜 我有心理变态者的大脑。我背着这么个家族故事，还可能遗传了心理变态的基因。然而我同那些我一直以来所研究的连环杀人犯有着天壤之别。所以这其中一定另有奥妙，而这也是激励科学家们追求真相的契机所在。 06.从TED到《犯罪心理》 八月下旬的几天里，我收到了两封邮件，接了两通电话。电话和邮件来自于《华尔街日报》科技通讯社的社长高塔姆.奈克和哥伦比亚广播公司犯罪系列片《犯罪心理》的执行制作人兼作者西蒙.米伦。他们都想要知道TED视频里故事的后续…… 07.爱情、友情和那些不堪回首的韵事 立刻要求回报不是一种操纵。小伙子们会对姑娘们大献殷情，然后立刻要求与她们上床。操纵者从不使用这种蹩脚的手段。他们会像个混蛋一样用优雅的方式完成一切。                (收起) ","['心理学', '脑科学', '心理学、精神分析、心理学著作、弗洛伊德', '心理', '科普', '心理学、精神分析、心理学著作、', '美国', '詹姆斯·法隆']"
趣味生活简史,严维明,2011-7-1,8.0,1022,本书是《万物简史》作者最新扛鼎之作，其创作灵感源自于作者一次石破天惊的发现：房屋不是躲避历史的避难所，而是历史的最终归宿。 在作者看来，无论世界上发生了什么，不管人们发现了什么，创造了什么，或激烈争夺了什么，最终都会以这种或那种方式投射到你的家里。战争、饥荒、工业革命、启蒙运动……这些看似与我们相距遥远的历史或许就隐藏在你的沙发里和五斗橱里、在你窗帘的皱褶里、在你松软的枕头里、在你家墙上的油漆里、在你家的自来水管道乃至抽水马桶里。于是，作者决定探究每间屋子在居家生活的演变过程中所起的作用。 在作者的生花妙笔之下，卫生间是一部个人卫生的历史，厨房是一部烹调的历史，卧室则成了性爱、死亡和睡觉的历史。作者还梳理了从建筑学到电力学，从考古学到园艺学，从食物贮藏到流行病，从香料贸易到艾菲尔铁塔，从女性时装到室内装潢等方面的演变脉络，撰写了一部包罗万象的人类居家...(展开全部),        前言 第一章 现代生活的序幕 第二章 居家的气息 第三章 门厅 第四章 厨房 第五章 洗澡间和食品库 第六章 保险丝盒 第七章 起居宣 第八章 餐厅 第九章 地下宣 第十章 过道 第十一章 书房 第十二章 花园 第十三章 紫色屋 第十四章 楼梯 第十五章 卧宣 第十六章 卫生间 第十七章 梳妆室 第十八章 幼儿房 第十九章 阁楼                (收起) ,"['历史', '趣味生活', '比尔·布莱森', '科普', '文化', '生活', '文化史', '美国']"
大脑简史,谢伯让,2018-6-1,8.1,70,【编辑推荐】 “自私”的大脑如何战胜“自私的基因”？ 生命的终止是否就是进化的宿命？ 献给你，渴望突破桎梏、向往自由的大脑！ 第一颗大脑如何诞生？ 为什么我们会有大脑？ 大脑的自由意志是否受限于基因？ 生命的终止是否就是进化的宿命？ 经过四十亿年的进化，大脑是否已经摆脱自私基因的掌控？ 摆脱自然界和“人择”，“心择”的时代来临？！ 【内容简介】 作者以亲切诙谐的拟人口吻，从40亿年前的第一个细胞开始，抽丝剥茧，带领读者浏览进化的长河，生物体为了存活使用的种种策略。将大脑的形成比喻成一场身体资源竞逐的战役，神经系统为了抵抗外在艰困环境，不断“结党营私”，突破各种生死关卡，最终形成了大脑…… 【媒体推荐】 作者提出大脑与基因之争的个人见解，认为人类大脑已经超脱基因掌控！由于科学界及哲学界对此见解尚无定论，因此，文书力请多位意见领袖，请他们站在自己的专业立...(展开全部),        序　章　“结党营私”的大脑　╱ 001 “自私”只是拟人化的描述法？　╱ 005 心灵是自私的，因此大脑也是自私的？　╱ 006 进化过程中大脑的自私征兆：类自私、准自私与真自私　╱ 007 大脑自私的生理证据　╱ 008 第一章　一代王者的诞生　╱ 011 第一项神器：金罩铁衫（脂质双分子层）　╱ 014 第二项神器：钢锁铜门（受器与闸门）　╱ 016 信息战登场　╱ 017 第三项神器：雷神律令（离子通道与电位传递能力）　╱ 018 信息革命　╱ 021 第四项神器：奴役之刃（突触）　╱ 022 神经细胞的诞生：操控，操控，再操控　╱ 026 第二章　世纪帝国的形成　╱ 029 多细胞生物的崛起　╱ 032 令人又爱又恨的分工　╱ 036 神经系统的现身　╱040 身后士卒、以邻为壑　╱046 第一项生存困境：细胞之间缺乏整合　╱048 第二项生存困境：重复出现的刺激　╱049 第三项生存困境：多重选择　╱050 高筑墙、广积粮、缓称王　╱051 脊索动物登场　╱ 053 第三章　穷兵黩武的竞赛　╱ 059 注意前方　╱ 061 化学侦测　╱ 066 机械感知　╱ 081 光感知能力　╱ 090 第四章　掌控一切的基因　╱ 117 阿尔塔米拉洞的壁画　╱119 哺乳类的诞生与其大脑的进化　╱121 限制大脑发展的六道难关　╱126 自私的大脑　╱ 133 文化进化　╱ 139 第五章　跳脱轮回的反叛　╱ 147 人类已停止进化？　╱ 150 基因才是幕后黑手？　╱ 154 大脑对抗基因掌控？　╱ 155 反驳“大脑对抗基因论”？　╱ 167 真有自由意志？　╱ 174 究竟有无自由意志？　╱ 182 终　章　摆脱束缚的未来　╱ 187 上传心灵　╱ 189 “神经元置换上传”思想实验　╱ 191 逐步取代大脑　╱ 192 开放的未来　╱ 194 哲学界× 科学界 顶尖意见领袖跨界批判评论集　╱ 197 献给 每一个渴望自由的大脑                (收起) ,"['脑科学', '科普', '好书，值得一读', '思维', '科学', '生物', '很喜欢！希望有机会拜读！', '脑科学,好书，值得一读,科普']"
简单统计学,[美] 加里·史密斯,2018-1,7.8,364,耶鲁大学简单统计学课 让数据说实话是现代社会的基本生存技能 ................... ※编辑推荐※ ★耶鲁大学热门公开课，只需懂加减乘除就能看懂的统计学 - 本书脱胎于耶鲁大学两度获得教学奖的热门公开课 - 跟随一系列轻松又惊心动魄的案例，掌握统计学的基本原则 - 诺贝尔经济学奖获得者罗伯特·希勒赞赏推荐 ★所谓清醒思考，就是用统计学思考 - 19种统计原则，让认知再次升级 - 数十个经典案例，为超过90%的生活场景提供直观借鉴 - 幽默而犀利的分析，平均每三页提供一次醍醐灌顶的体验 ★让数据说实话，是现代社会的基本生存技能 -《魔鬼统计学》颠覆常识的结论，到底错在哪里？ -《追求卓越》归纳的成功经验，为何是隐蔽的陷阱？ - 日常生活中，有哪些自我欺骗的套路？ ................... ※内容简介※ 允许堕胎可以降低犯罪率...(展开全部),        序言 第1章 模式、模式、模式 第2章 不再神奇的超级畅销书 第3章 被误传的谋杀之都 第4章 新的经济学上帝 第5章 扬基队的门票真的划算吗？ 第6章 美国有多少非裔职业运动员？ 第7章 辛普森悖论 第8章 状态火热的雷阿伦 第9章 胜者的诅咒 第10章 如何转变运气？ 第11章 德克萨斯神枪手 第12章 终极拖延 第13章 黑色星期一 第14章 点球成金 第15章 特异功能真的存在吗？ 第16章 彩票是一种智商税 第17章 超级投资者 第18章 增长的极限 第19章 何时相信，何时怀疑 出版后记                (收起) ,"['统计学', '思维', '统计', '科普', '简单统计学', '数据', '经济学', '经济']"
别逗了，费曼先生,R•P•费曼,2012-9-1,8.3,844,R.费曼（1918～1988）出生在纽约市的法洛克维，1942年在普林斯顿大学获得博士学位。在第二次世界大战期间，他对发展原子弹做出过重要贡献。战后费曼曾先后在康奈尔大学和加州理工学院教书。1965年，他因盘子电动力学方面的研究荣获诺贝尔物理学奖。除了作为一个物理学家外，费曼在不同时期还曾是故事大王、艺术家、鼓手和密码破泽专家。 《别逗了，费曼先生》的这些回忆文字，为这个大人物大致描绘了一生！这是一本很棒的读物：挥霍无忌、惊世骇俗，却仍然温馨，很有人情味儿。《走进费曼丛书：别逗了，费曼先生》仅仅是稍微触及了他的人生根本：科学。我们在这里或那里，能够看到，作为背景材料，科学只是一笔带过，而不是作为他的人生焦点来处理的，但他一代一代的学生和同事，都知道科学在他的生活中的分量。或许本书也只能这样来写。要把关于他和他的工作的那些爽人心神的故事组织起来，或许也...(展开全部),        导言 第1部分　从法洛克维到麻省理工学院 他动动脑袋瓜子就能修好收音机！ 菜豆 谁偷了门？ 拉丁语还是意大利语？ 总想逃避 米特普拉斯特公司的首席化学家 第2部分　在普林斯顿大学的岁月 “别逗了，费曼先生！” 我——！ 猫地图？ 魔鬼头脑 搅和油漆 别具一格的工具箱 测心术 业余科学家 第3部分　费曼，炸弹和军队 嘶嘶的信管 考验猎犬 从低处看洛斯阿拉莫斯 撬锁贼碰到了撬锁贼 山姆大叔不要你了！ 第4部分　从康奈尔大学到加州工学院，接触巴西 讲派头的教授 有问题吗？ 我要我的一块钱！ 你就这样问她们？ 幸运数字 又是这个美国人！ 什么话都会说 照您吩咐的，老大！ 盛情难承 第5部分　一个物理学家的世界 你解狄拉克方程吗？ 百分之七的答案 十三次 “鸡母牛，鸡母牛！” 但那是艺术吗？ 电是火吗？ 书好书坏，看看封面 诺贝尔的另一个错误 把文化带给物理学家 巴黎见分晓 另类状态 野狐禅科学 索引 译后记                (收起) ,"['传记', '费曼', '科普', '物理', '科学人文', '美国', '科学', '传记八卦']"
女士品茶,[美]戴维·萨尔斯伯格,2016-8,8.1,329,大数据时代最该懂的学科就是统计学 科学松鼠会推荐统计学领域入门必读书 ................... ※编辑推荐※ ★统计学入门首选读本，科学松鼠会强力推荐！ 这是一本经典的入门级读物，每介绍一个新的概念，都会进行大量的背景介绍，再辅以相关奇闻异事。就算是对于一个门外汉来说，也能读懂一个特定概念是做什么用的。 ★像小说一样的科普书，堪称统计学领域的《苏菲的世界》 在作者笔下，固执的皮尔逊、低调的戈塞特、天才的费舍尔，一如武林高手一样，在统计学的思想领域激烈交锋。他们和后续各个时代代表性的天才，共同演绎了二十世纪这场绚丽多彩又跌宕起伏的统计学革命。有读者评论，本书之于统计学，一如《苏菲的世界》之于哲学。 ★了解统计学的人，运气都不会太差。大数据时代，你需要懂点统计学思想。 统计学从不猜想，而是测量未来！从买乐透到大数据，全都需要统计学，不懂统计...(展开全部),        自序 第1章　品茶的女士 第2章　偏斜分布 第3章　亲爱的戈塞特先生 第4章　堆积如山的记事本 第5章　《收成变动研究》 第6章　“百年一遇的洪水” 第7章　费希尔的胜利 第8章　致死剂量 第9章　钟形曲线 第10章　拟合优度检验 第11章　假设检验 第12章　信任的骗局 第13章　贝叶斯的“异端邪说” 第14章　数学界的莫扎特 第15章　小人物的视角 第16章　摆脱参数 第17章　部分优于整体 第18章　吸烟会致癌吗？ 第19章　如果你想得到最佳人选…… 第20章　单纯的得州农家孩子 第21章　家族中的天才 第22章　统计领域的毕加索 第23章　污染处理 第24章　工业的重新缔造者 第25章　黑衣女子的建议 第26章　鞅的发展历程 第27章　意向性治疗 第28章　将自己提起来的计算机 第29章　建立在沙土上的摩天大厦 后记 大事年表 出版后记                (收起) ,"['统计学', '科普', '数据分析', '统计', '科学史', '方法论', '经济学', '数学']"
宇宙从何而来,傅渥成,2018-6,9.7,71,《宇宙从何而来？》为[科学家]书系03#作品。 起点与终点、生命与信息， 物质与能量、时间与宇宙， 不要被这些词语所吓倒。 我向你保证， 这个世界并没有我们想象的那么难以理解， 只要你认真的看完《宇宙从何而来？》。 从混沌到宇宙诞生，从气态到固态； 从原子分子到生命形成，从原始生产到人工智能。 霍金向人类发问：我们为何在此？我们从何而来？ 本书作者傅渥成在这里告诉大家，时间永远向前。 宇宙、生命、文明，不断进化，不断演生。 物理学家不断探索宇宙的意义， 亦是在寻找天地万物的来时之路。,        PART 01  终极的终极The ultimate truth 寻求天地间的联系或许是人类这种爱思考的动物所独有的爱好。 PART 02  物质与能量The secrets of energy 早在原始人的时候，人类就已经会摩擦生热、钻木取火，但把“摩擦”跟“热” 真正联系起来，却经过了这么长的 PART 03  生命与信息The origin of life 生命这种有序结构的“意义”就在于尽可能地去消耗甚至浪费资源。 PART 04  时间与宇宙The essence of the universe 或许在未来我们可以从时时空的微观结构中捕捉到一个虫洞，再用奇异物质将其放大，这时，真正的时空旅行就变得可能了。                (收起) ,"['科普', '物理学', '天文', '系统', '复杂', '傅渥成', '自然', '长知识了']"
创造的本源,(美)爱德华·威尔逊,2018-10,7.4,47,一本讲述创造力的起源的重磅新作,        一创造从何而来 1创造是什么 2篝火，开启创造的契机 3语言，创造的真正源泉 4崭新的原创方式带来创新 5审美惊喜，标志性特征触发感悟 二什么阻碍了创造 6人类极端中心主义 7重科学而轻人文 三什么促进了创造 8终极因:人类通过思考来实现生存 9基岩:科学与人文融合的三种方式 10突破:人类物种变得越来越统一 11遗传文化:基因与文化协同进化的独特模式 12天性:四个层面的改变释放创造力 四自然给创造灵感 13自然为母:我们赖以生存的环境 14猎者凝神:天人合一的极乐境界 15花园繁盛:人类追寻的精神家园 五科学与人文的融合 16借助隐喻:施展语言的魔法 17寻找原型:人类共同情感的基础 18探索荒岛:发掘相融的创造力 19运用讽刺:赢得思想的胜利 20重振哲学:迎接第三次启蒙 参考文献                (收起) ,"['科普', '爱德华·威尔逊', '创新', '进化', '科学', '思维', '知识观', '2018']"
数学女孩,[日]结城浩,2016-1-1,8.9,231,《数学女孩》以小说的形式展开，重点描述一群年轻人探寻数学中的美。内容由浅入深，数学讲解部分十分精妙，被称为“绝赞的初等数学科普书”。内容涉及数列和数学模型、斐波那契数列、卷积、调和数、泰勒展开、巴塞尔问题、分拆数等，非常适合对数学感兴趣的初高中生以及成人阅读。,        致读者　　1 序言　　1 第1章　数列和数学模型　　1 1.1　樱花树下　　1 1.2　自己家　　5 1.3　数列智力题没有正确答案　　8 第2章　一封名叫数学公式的情书　　13 2.1　在校门口　　13 2.2　心算智力题　　14 2.3　信　　15 2.4　放学后　　16 2.5　阶梯教室　　17 2.5.1　质数的定义　　19 2.5.2　绝对值的定义　　23 2.6　回家路上　　25 2.7　自己家　　27 2.8　米尔嘉的解答　　31 2.9　图书室　　33 2.9.1　方程式和恒等式　　33 2.9.2　积的形式与和的形式　　37 2.10　在数学公式另一头的人到底是谁　　41 第3章　ω的华尔兹　　43 3.1　图书室　　43 3.2　振动和旋转　　46 3.3　ω　　53 第4章　斐波那契数列和生成函数　　61 4.1　图书室　　61 4.1.1　找规律　　62 4.1.2　等比数列的和　　64 4.1.3　向无穷级数进军　　64 4.1.4　向生成函数进军　　66 4.2　抓住斐波那契数列的要害　　68 4.2.1　斐波那契数列　　68 4.2.2　斐波那契数列的生成函数　　70 4.2.3　封闭表达式　　71 4.2.4　用无穷级数来表示　　73 4.2.5　解决　　75 4.3　回顾　　79 第5章　基本不等式　　81 5.1　在“神乐”　　81 5.2　满是疑问　　83 5.3　不等式　　85 5.4　再进一步看看　　94 5.5　关于学习　　97 第6章　在米尔嘉旁边　　103 6.1　微分　　103 6.2　差分　　107 6.3　微分和差分　　109 6.3.1　一次函数x　　110 6.3.2　二次函数x2　　111 6.3.3　三次函数x3　　113 6.3.4　指数函数e x　　115 6.4　在两个世界中往返的旅行　　117 第7章　卷积　　121 7.1　图书室　　121 7.1.1　米尔嘉　　121 7.1.2　泰朵拉　　125 7.1.3　推导公式　　125 7.2　在回家路上谈一般化　　129 7.3　在咖啡店谈二项式定理　　130 7.4　在自己家里解生成函数　　140 7.5　图书室　　146 7.5.1　米尔嘉的解　　146 7.5.2　研究生成函数　　152 7.5.3　围巾　　155 7.5.4　最后的要塞　　156 7.5.5　攻陷　　159 7.5.6　半径是0 的圆　　163 第8章　调和数　　167 8.1　寻宝　　167 8.1.1　泰朵拉　　167 8.1.2　米尔嘉　　169 8.2　图书室里的对话　　170 8.2.1　部分和与无穷级数　　170 8.2.2　从理所当然的地方开始　　173 8.2.3　命题　　175 8.2.4　对于所有的……　　178 8.2.5　存在……　　180 8.3　螺旋式楼梯的音乐教室　　184 8.4　令人扫兴的? 函数　　186 8.5　对无穷大的过高评价　　187 8.6　在教室中研究调和函数　　194 8.7　两个世界、四种运算　　197 8.8　已知的钥匙、未知的门　　203 8.9　如果世界上只有两个质数　　205 8.9.1　卷积　　206 8.9.2　收敛的等比数列　　207 8.9.3　质因数分解的唯一分解定理　　208 8.9.4　质数无限性的证明　　209 8.10　天象仪　　213 第9章　泰勒展开和巴塞尔问题　　217 9.1　图书室　　217 9.1.1　两张卡片　　217 9.1.2　无限次多项式　　219 9.2　自学　　222 9.3　在那家叫“豆子”的咖啡店　　224 9.3.1　微分的规则　　224 9.3.2　更进一步微分　　227 9.3.3　sin x 的泰勒展开　　230 9.3.4　极限函数的图像　　233 9.4　自己家　　237 9.5　代数学基本定理　　239 9.6　图书室　　245 9.6.1　泰朵拉的尝试　　245 9.6.2　要到达哪里　　248 9.6.3　向无限挑战　　255 第10章　分拆数　　259 10.1　图书室　　259 10.1.1　分拆数　　259 10.1.2　举例　　261 10.2　回家路上　　267 10.2.1　斐波那契手势　　267 10.2.2　分组　　269 10.3　“豆子”咖啡店　　271 10.4　自己家　　273 10.5　音乐教室　　278 10.5.1　我的发言（分拆数的生成函数）　　279 10.5.2　米尔嘉的发言（分拆数的上限）　　287 10.5.3　泰朵拉的发言　　292 10.6　教室　　296 10.7　寻找更好的上限之旅　　298 10.7.1　以生成函数为出发点　　299 10.7.2　“第一个转角”积变为和　　300 10.7.3　“东边的森林”泰勒展开　　301 10.7.4　“西边的山丘”调和数　　307 10.7.5　旅行结束　　308 10.7.6　泰朵拉的回顾　　311 10.8　明天见　　312 尾声　　315 结语　　319 参考文献和导读　　321                (收起) ,"['数学', '科普', '日本', '数学文化', '小说', '數學普及讀物', '图灵新知', '自然科学']"
驯化,【英】艾丽丝·罗伯茨,2019-3-31,评分人数不足,评分人数不足,★	数万年的人类史，也是一部物种驯化史。 ★	2017年《经济学人》《星期日邮报》年度好书。 ★	被誉为与《人类简史》《枪炮、病菌与钢铁》比肩的人类史著作。 ★	被亚当·卢瑟福（《我们人类的基因》作者）评价为：“在叙述我们人类自己的故事当中，本书是一部里程碑式的史诗巨著。” ★	《人类简史》从大历史高度贯通、浓缩人类数万年发展史，《驯化》以局部辐射整体，打通人类学、考古学、历史、基因研究等多个领域。 ★	选取包括人类在内的十个物种，讲述了各物种间相互纠缠彼此影响的史诗故事，揭示了我们现在生活的世界是怎样发展而来，未来又将走向何处。 ★	知识性与趣味性的平衡，有趣、迷人，史诗般的写作。 —————————————— 4万年前，人类尚以狩猎采集为生。某个格外漫长而寒冷的冬天，原来搜寻动物残骸为食的狼群，受饥饿驱使，靠近了人类的营地。到了夏天，狼群开始参与...(展开全部),        狗 小麦 牛 玉米 土豆 鸡 水稻 马 苹果 人类                (收起) ,"['科普', '人类学', '生物', '进化', '2019', '历史', '文化', '进化论']"
表象与本质,[美] 侯世达,2018-12-1,7.6,46,● 神书《集异璧》作者侯世达重磅新书！ ● 侯世达亲自参与《表象与本质》中文版的翻译，体会侯世达式的中文。 ● 既是译作，也是原创，《表象与本质》中融合了作者与译者共同碰撞出的中文例子，让你身临其境地体会表象背后的本质。 ●《集异璧》译者，北京大学燕京学堂副院长莫大伟，中国科学院心理研究所所长傅小兰、清华大学社会科学院院长彭凯平、清华大学技术创新研究中心主任陈劲，当代伟大的思想家、《当下的启蒙》作者史蒂芬?平克，斯坦福大学心理学教授、认知科学家芭芭拉?特沃斯基，圣塔菲研究所客座教授、《复杂》作者梅拉妮·米歇尔联袂推荐。 ● 湛庐文化出品。 ● 闻名世界的认知科学家侯世达凭借独特的智慧与天赋，联合法国心理学家桑德尔，终于向世人展示了这部极具开创性的著作，一解人类认知之谜。 ● 一如之前的《集异璧》，《表象与本质》深刻地丰富了我们对心智的理解，它带领读者...(展开全部),        推荐序 跨越“表象”的人类思维“本质” 中文版序 这《表象与本质》是如何翻译成中文的 序 言 这《表象与本质》是如何写成的 引 言 类比，人类认知的核心 1 词语的召唤 2 短语的召唤 3 隐秘类比的海洋 4 抽象过程与内部范畴滑动 5 类比如何操纵我们 6 我们如何操纵类比 7 朴素类比 8 惊天动地的类比 结 语 范畴化和作类比就是一回事儿，它们是人类认知的核心 注 释 参考文献 致 谢 译者后记                (收起) ,"['侯世达', '哲学', '思维', '认知科学', '心灵哲学', '类比', 'GEB', '认知与方法']"
苏菲的世界,乔斯坦·贾德,2017-8,8.7,605,《苏菲的世界》 这是一本风靡世界的哲学启蒙书。 14岁的少女苏菲不断接到一些极不寻常的来信，世界像谜团一般在她眼底展开，她在一位神秘导师的指引下，苏菲开始思索，从苏格拉底、柏拉图到达尔文、弗洛伊德等哲学大师所思考的根本问题。苏菲运用少女天生的悟性与后天知识，企图解开这些谜团，然而，事实真相远比她所想的更怪异、更离奇。《苏菲的世界》，是智慧的世界，梦的世界。它将会唤醒每个人内心深处对生命的赞叹与对人生终极意义的关怀与好奇。,暂无,"['哲学', '哲学入门', '哲学-哲学入门', '经典', '自我发现', '心灵', '教育', '外国文学']"
数学思考法,[日]神永正博,2018-3,8.5,27,本书为讲解“数学思考法”的通俗科普读物，书中通过用数学思维解析实际生活案例、公众认知中的错误直觉、数学经典名题等方式，由浅入深地传授了分析数据信息价值、辨别谎言、拆解转化复杂问题、抓住事物本质的思考之法，同时讲解了相关的数学知识与理论，可以有效提高理性思维、判断与解决问题能力，对于理解数学、培养数学兴趣亦有有益启示。,        第一章　颠覆直觉的数据　　001 比率的魔法棒　　002 “平均”的日本人　　017 贝叶斯定理　　028 齐普夫定律　　041 本福特定律　　057 第二章　颠覆直觉的概率　　073 惊人的“同月同日生”　　074 飞镖游戏之谜　　091 你不知道的排队这件事　　103 反正弦理论　　117 蒲丰投针实验　　129 第三章　颠覆直觉的图形　　143 井盖与50 便士　　144 鲁珀特亲王之问　　153 线段的旋转之舞　　166 托里拆利小号　　178 色彩的难题　　190 第四章　颠覆直觉的定理　　201 空间填充曲线　　202 帕隆多悖论　　213 蒙提霍尔的陷阱　　228 关于“无限”的故事　　239 连续统假设　　251 后记　　269 尾注　　272                (收起) ,"['数学', '科普', '思维', '日本', '思考', '科学科普', '数学文化', '自然科学相关']"
我们为什么不说话,[美]坦普尔·葛兰汀（Temple Grandin）,2018-1,8.3,170,聊天是人们增进了解的常用方法，但假如是面对一只不会说话的动物呢？如何知道它的小脑袋里在想些什么？ 坦普尔·葛兰汀，美国科罗拉多州立大学动物科学教授，被业内称为能翻译动物语言的人，专业研究动物三十年心力之作。 书中有新奇好玩的前沿科学试验，如让鸽子学会分辨毕加索和莫奈的画作；也有贴近生活的实用技巧，如家庭挑选合宠物狗、训练猫咪指南。 全书由表及里地阐释了动物行为背后隐藏的情感、思维及非凡的才能。,        第一章我的故事 （随着青春期的到来，如潮水般的焦虑感向我不断涌来，是动物拯救了我。） 鼎盛的行为主义  |  视觉环境  |  形象思维 第二章动物如何观察世界 （研究人员一直想知道，大象族群会在广袤的非洲草原上分开行动几个礼拜，然后在同一时间同一地点碰头，它们是怎么做到的？大象又不能像人一样打电话事先好。） 人类眼中的世界  |  动物眼中的世界  |  可怕的细节  |  动物和人类的视觉差异 观察色彩和光线的反差  |  新奇性  |  声音  |  视而不见  |  蜥蜴脑、狗脑和人脑 只看大树，不看树叶  |  极端知觉：猫的秘密  |  不同的感觉器官  | 脑细胞相同，处理方式有别 第三章动物情感 （来自中国的公猪性欲旺盛，它们总是偷偷溜出猪圈，乘工作人员不在，就开始和美国的母猪交配，简直就像性爱大师。） “公鸡强奸犯”  |  单性状繁育  |  选择压力  |  当坏事变成常事  |  变态的母鸡 人类如何改变动物性情  |  繁育纯种狗的弊端  |  狗是人类的另一个“孩子” 爱恨鲜明的动物  |  狗的世界没有弗洛伊德  |  四种基本情感  |  好奇心不会害死猫 喜新厌旧的动物  |  迷信的动物  |  动物的朋友和家人  |  怎样让猪坠入爱河 身陷囹圄的马  |  爱情荷尔蒙  |  动物的爱  |  爱的依赖  |  挤压器中的感觉 给小猪和小鸡的挤压器  |  动物爱玩耍  |  快来打架吧  |  玩耍和惊奇  |  既好奇又害怕 情感的培养  |  动物的朋友和动物福利 第四章动物进攻性 （动物打架往往很吵，捕猎时却很冷静。） 大脑中的进攻性  |  致命一击  |  猎手学校  |  捕杀土拨鼠有趣吗  |  快乐的猎手 约束掠食性进攻  |  情感性进攻  |  进攻性的遗传  |  动物暴力罪行 狗的咬伤抑制  |  公猪警察  |  提高动物社会性  |  动物孤儿  |  教狗学会和人共处 保持和平  |  群体心态  |  尊重动物本性  |  进攻性的预防  |  约束恐惧性进攻 第五章疼痛与痛苦 （绵羊即使受了重伤，它也会装作一切正常，而受伤的猫会呜咽不停。狗的反应更夸张，即使是不小心踩到它的脚，它一定会扯着喉咙惨叫。） 动物会疼吗  |  到底有多疼  |  自闭症和疼痛  |   恐惧比疼痛更可怕  |  从恐惧中解放 无所畏惧的古比鱼  |  维持生存  |  用情感预测未来  |  恐怖从何而来  |  共同的恐惧 产生恐惧很容易  |  观摩学习  |  大象永远不会忘记  |  快速恐惧和慢速恐惧 恐惧真奇怪  |  动物的恐惧各不同  |  超级具体化  |  恐惧和好奇心  |  新新事物 恐惧的扩散  |  远离恐惧  |  被恐惧吞噬的怪兽  |  是不良行为还是恐惧  |  从“娃娃”抓起 以毒攻毒  |  挑选坚强的动物 第六章动物思维 （非洲灰鹦鹉亚历克斯改变了人类对于动物的认识，它的认识水平相当于五岁的孩子，除了能模仿学习之外，它还能提出问题、拼写单词。） 动物真有认知能力吗  |  动物是否像人一样聪明  |  学习对动物来说很困难 没有语言的人  | 碍事的语言  |  觉醒和认识—— 进入动物大脑  |  动物专家 打败人类的老鼠  |  爱护动物的误区|  动物是否有语言  |  为什么是土拨鼠 音乐也是一种语言  |  请先相信动物 第七章动物天才：极致的才能 （灰松鼠能把上千个松果藏在不同的地方，并记住每一个位置。） 超强记忆  |  极端感知和动物智能  |  被忽视的才能  |  动物为什么没有主宰世界 别具一格的聪明  |  粗分派与细分派  |  发现隐藏图形  |  自闭学者  |  魔鬼就在细节里 想动物之所能，而非其所不能  |  狗让我们成为人 附录动物行为指南及训练手册 行为和行为动机  |  训练方法                (收起) ,"['科普', '动物', '动物学', '行为学', '自然', '科学', '自闭症', '社会']"
